项目编码,项目,数值,单位,色块,R,G,B,HEX,来源
soft_ph,软化水 pH,7,pH,1,74,114,43,#4A722B,pH7-14.png
soft_ph,软化水 pH,7,pH,2,160,216,167,#A0D8A7,pH7-14.png
soft_ph,软化水 pH,7.5,pH,1,53,111,53,#356F35,pH7-14.png
soft_ph,软化水 pH,7.5,pH,2,158,215,162,#9ED7A2,pH7-14.png
soft_ph,软化水 pH,8,pH,1,28,96,75,#1C604B,pH7-14.png
soft_ph,软化水 pH,8,pH,2,155,214,160,#9BD6A0,pH7-14.png
soft_ph,软化水 pH,8.5,pH,1,1,84,76,#01544C,pH7-14.png
soft_ph,软化水 pH,8.5,pH,2,160,217,164,#A0D9A4,pH7-14.png
soft_ph,软化水 pH,9,pH,1,0,68,89,#004459,pH7-14.png
soft_ph,软化水 pH,9,pH,2,168,194,129,#A8C281,pH7-14.png
soft_ph,软化水 pH,9.5,pH,1,0,65,95,#00415F,pH7-14.png
soft_ph,软化水 pH,9.5,pH,2,164,149,120,#A49578,pH7-14.png
soft_ph,软化水 pH,10,pH,1,0,65,93,#00415D,pH7-14.png
soft_ph,软化水 pH,10,pH,2,170,104,116,#AA6874,pH7-14.png
soft_ph,软化水 pH,10.5,pH,1,0,68,99,#004463,pH7-14.png
soft_ph,软化水 pH,10.5,pH,2,145,88,121,#915879,pH7-14.png
soft_ph,软化水 pH,11,pH,1,0,67,104,#004368,pH7-14.png
soft_ph,软化水 pH,11,pH,2,141,45,106,#8D2D6A,pH7-14.png
soft_ph,软化水 pH,11.5,pH,1,1,66,104,#014268,pH7-14.png
soft_ph,软化水 pH,11.5,pH,2,155,41,103,#9B2967,pH7-14.png
soft_ph,软化水 pH,12,pH,1,1,66,104,#014268,pH7-14.png
soft_ph,软化水 pH,12,pH,2,146,24,85,#921855,pH7-14.png
soft_ph,软化水 pH,12.5,pH,1,0,65,103,#004167,pH7-14.png
soft_ph,软化水 pH,12.5,pH,2,174,29,60,#AE1D3C,pH7-14.png
soft_ph,软化水 pH,13,pH,1,0,62,99,#003E63,pH7-14.png
soft_ph,软化水 pH,13,pH,2,178,28,63,#B21C3F,pH7-14.png
soft_ph,软化水 pH,13.5,pH,1,0,64,102,#004066,pH7-14.png
soft_ph,软化水 pH,13.5,pH,2,175,32,60,#AF203C,pH7-14.png
soft_ph,软化水 pH,14,pH,1,5,61,96,#053D60,pH7-14.png
soft_ph,软化水 pH,14,pH,2,185,20,62,#B9143E,pH7-14.png
hardness,软化水硬度,0,mg/L,1,198,188,199,#C6BCC7,总硬度0-20.png
hardness,软化水硬度,5,mg/L,1,193,178,199,#C1B2C7,总硬度0-20.png
hardness,软化水硬度,10,mg/L,1,204,183,216,#CCB7D8,总硬度0-20.png
hardness,软化水硬度,20,mg/L,1,198,161,215,#C6A1D7,总硬度0-20.png
boiler_ph,炉水 pH,7,pH,1,74,114,43,#4A722B,pH7-14.png
boiler_ph,炉水 pH,7,pH,2,160,216,167,#A0D8A7,pH7-14.png
boiler_ph,炉水 pH,7.5,pH,1,53,111,53,#356F35,pH7-14.png
